"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"458","0.97",2,5.369,5.4325
"459","0.98",2,5.623,5.64
"460","0.99",2,5.742,5.725
"461","0.37",3,1.472,1.495
"462","0.6",3,2.002,2.0225
"463","0.75",3,2.658,2.69
"464","0.84",3,3.421,3.3625
"465","0.9",2,4.15,4.175
"466","0.94",2,4.667,4.635
"467","0.96",2,5.122,5.055
"468","0.97",2,5.409,5.4575
"469","0.98",2,5.599,5.645
"470","0.99",2,5.714,5.72
"471","0.37",4,1.448,1.485
"472","0.6",4,2.008,2.005
"473","0.75",3,2.644,2.6425
"474","0.84",3,3.391,3.53
"475","0.9",3,4.071,4.0675
"476","0.94",2,4.622,4.6775
"477","0.96",2,5.128,5.0325
"478","0.97",2,5.381,5.435
"479","0.98",2,5.608,5.63
"480","0.99",2,5.752,5.7525
"481","0.37",3,1.476,1.4125
"482","0.6",2,1.994,1.98
"483","0.75",2,2.64,2.58
"484","0.84",2,3.372,3.39
"485","0.9",2,4.066,4.005
"486","0.94",2,4.685,4.6325
"487","0.96",2,5.115,5.1675
"488","0.97",2,5.4,5.4125
"489","0.98",2,5.671,5.72
"490","0.99",2,5.777,5.7425
"491","0.37",3,1.459,1.4725
"492","0.6",3,1.951,1.94
"493","0.75",3,2.64,2.7025
"494","0.84",2,3.517,3.5475
"495","0.9",2,4.095,4.0725
"496","0.94",2,4.631,4.6675
"497","0.96",2,5.104,5.0725
"498","0.97",2,5.384,5.375
"499","0.98",2,5.593,5.54
"500","0.99",2,5.731,5.7875
"501","0.37",2,1.44,1.4125
"502","0.6",2,2.02,2.0275
"503","0.75",2,2.674,2.67
"504","0.84",2,3.508,3.4
"505","0.9",2,4.143,4.0925
"506","0.94",2,4.636,4.6275
"507","0.96",2,5.117,5.1275
"508","0.97",2,5.433,5.485
"509","0.98",2,5.66,5.71
"510","0.99",2,5.751,5.7475
"511","0.37",3,1.459,1.5075
"512","0.6",3,2.017,1.96
"513","0.75",3,2.687,2.745
"514","0.84",3,3.476,3.4825
"515","0.9",2,4.118,4.035
"516","0.94",2,4.719,4.6425
"517","0.96",2,5.209,5.2775
"518","0.97",2,5.403,5.4675
"519","0.98",2,5.678,5.635
"520","0.99",2,5.747,5.735
"521","0.37",4,1.469,1.455
"522","0.6",3,2.018,1.995
"523","0.75",3,2.636,2.6
"524","0.84",3,3.357,3.4375
"525","0.9",3,4.121,4.1525
"526","0.94",2,4.723,4.6975
"527","0.96",2,5.085,4.9875
"528","0.97",2,5.433,5.32
"529","0.98",2,5.642,5.5775
"530","0.99",2,5.803,5.8225
"531","0.37",2,1.496,1.52
"532","0.6",2,1.978,1.9675
"533","0.75",2,2.725,2.705
"534","0.84",2,3.417,3.4925
"535","0.9",2,4.12,4.1225
"536","0.94",2,4.657,4.7725
"537","0.96",2,5.091,5.195
"538","0.97",2,5.368,5.3425
"539","0.98",2,5.636,5.585
"540","0.99",2,5.753,5.7325
"541","0.37",3,1.462,1.505
"542","0.6",3,1.954,2.025
"543","0.75",3,2.738,2.7175
"544","0.84",3,3.407,3.3125
"545","0.9",2,4.09,4.115
"546","0.94",2,4.705,4.68
"547","0.96",2,5.141,5.2275
"548","0.97",2,5.391,5.445
"549","0.98",2,5.597,5.52
"550","0.99",2,5.777,5.8075
"551","0.37",3,1.452,1.4225
"552","0.6",3,2.005,2.0575
"553","0.75",3,2.644,2.6475
"554","0.84",3,3.405,3.5175
"555","0.9",2,4.161,4.14
"556","0.94",2,4.624,4.62
"557","0.96",2,5.081,5.055
"558","0.97",2,5.415,5.405
"559","0.98",2,5.66,5.6375
"560","0.99",2,5.716,5.6875
"561","0.37",3,1.436,1.4125
"562","0.6",3,1.99,1.9675
"563","0.75",3,2.75,2.6925
"564","0.84",3,3.499,3.5125
"565","0.9",2,4.127,4.125
"566","0.94",2,4.683,4.6025
"567","0.96",2,5.143,5.2175
"568","0.97",2,5.43,5.4
"569","0.98",2,5.626,5.63
"570","0.99",2,5.8,5.76
"571","0.37",2,1.43,1.4225
"572","0.6",2,2.038,2.0475
"573","0.75",2,2.678,2.73
"574","0.84",2,3.555,3.655
"575","0.9",2,4.111,4.1875
"576","0.94",2,4.663,4.7675
"577","0.96",2,5.089,5.0575
"578","0.97",2,5.369,5.3475
"579","0.98",2,5.615,5.655
"580","0.99",2,5.778,5.7675
"581","0.37",2,1.445,1.4225
"582","0.6",2,2.011,2.005
"583","0.75",2,2.662,2.69
"584","0.84",2,3.563,3.54
"585","0.9",2,4.094,4.07
"586","0.94",2,4.639,4.7125
"587","0.96",2,5.065,5.1475
"588","0.97",2,5.385,5.4575
"589","0.98",2,5.642,5.6875
"590","0.99",2,5.778,5.7525
"591","0.37",2,1.404,1.41
"592","0.6",2,1.982,1.9625
"593","0.75",2,2.662,2.7125
"594","0.84",3,3.436,3.4125
"595","0.9",2,4.194,4.2675
"596","0.94",2,4.718,4.78
"597","0.96",2,5.122,5.1575
"598","0.97",2,5.323,5.2825
"599","0.98",2,5.568,5.565
"600","0.99",2,5.724,5.675
"601","0.37",2,1.451,1.4225
"602","0.6",2,2.047,2.0575
"603","0.75",2,2.616,2.545
"604","0.84",2,3.438,3.4425
"605","0.9",2,4.103,4.175
"606","0.94",2,4.635,4.635
"607","0.96",2,5.109,5.0775
"608","0.97",2,5.387,5.3975
"609","0.98",2,5.664,5.63
"610","0.99",2,5.759,5.72
"611","0.37",3,1.461,1.495
"612","0.6",2,1.956,1.965
"613","0.75",2,2.763,2.7175
"614","0.84",2,3.367,3.3425
"615","0.9",2,4.179,4.0475
"616","0.94",2,4.692,4.565
"617","0.96",2,5.084,5.065
"618","0.97",2,5.493,5.545
"619","0.98",2,5.617,5.595
"620","0.99",2,5.801,5.765
"621","0.37",2,1.425,1.42
"622","0.6",2,2.051,2.09
"623","0.75",2,2.714,2.7075
"624","0.84",3,3.398,3.4125
"625","0.9",2,4.154,4.195
"626","0.94",2,4.717,4.7475
"627","0.96",2,5.193,5.135
"628","0.97",2,5.328,5.22
"629","0.98",2,5.647,5.7075
"630","0.99",2,5.749,5.7475
"631","0.37",3,1.48,1.4925
"632","0.6",3,2.043,2.015
"633","0.75",3,2.702,2.66
"634","0.84",3,3.43,3.4075
"635","0.9",3,4.152,4.1325
"636","0.94",2,4.655,4.81
"637","0.96",2,5.089,5.07
"638","0.97",2,5.408,5.44
"639","0.98",2,5.654,5.665
"640","0.99",2,5.785,5.7625
"641","0.37",3,1.412,1.4625
"642","0.6",2,2.005,2.0175
"643","0.75",2,2.697,2.755
"644","0.84",2,3.418,3.3525
"645","0.9",2,4.184,4.285
"646","0.94",2,4.738,4.7025
"647","0.96",2,5.163,5.22
"648","0.97",2,5.447,5.475
"649","0.98",2,5.59,5.5725
"650","0.99",2,5.76,5.7325
"651","0.37",3,1.418,1.4275
"652","0.6",2,2.036,2.0425
"653","0.75",2,2.684,2.685
"654","0.84",2,3.251,3.2275
"655","0.9",2,4.083,4.035
"656","0.94",2,4.704,4.58
"657","0.96",2,5.052,5.11
"658","0.97",2,5.402,5.35
"659","0.98",2,5.608,5.6
"660","0.99",2,5.793,5.765
"661","0.37",3,1.451,1.465
"662","0.6",3,2.064,2.0275
"663","0.75",3,2.64,2.695
"664","0.84",2,3.504,3.4175
"665","0.9",2,4.144,4.23
"666","0.94",2,4.692,4.595
"667","0.96",2,5.209,5.2475
"668","0.97",2,5.403,5.4375
"669","0.98",2,5.636,5.7175
"670","0.99",2,5.764,5.7125
"671","0.37",3,1.464,1.495
"672","0.6",3,1.954,1.9875
"673","0.75",2,2.614,2.5775
"674","0.84",2,3.447,3.4875
"675","0.9",2,4.068,4.115
"676","0.94",2,4.635,4.6225
"677","0.96",2,5.12,5.11
"678","0.97",2,5.372,5.3675
"679","0.98",2,5.549,5.555
"680","0.99",2,5.753,5.7775
"681","0.37",3,1.449,1.4975
"682","0.6",2,1.989,1.9475
"683","0.75",3,2.698,2.775
"684","0.84",2,3.347,3.405
"685","0.9",2,4.088,3.995
"686","0.94",2,4.795,4.725
"687","0.96",2,5.156,5.135
"688","0.97",2,5.486,5.51
"689","0.98",2,5.625,5.5825
"690","0.99",2,5.772,5.735
"691","0.37",2,1.468,1.4375
"692","0.6",2,1.983,2.015
"693","0.75",2,2.669,2.7
"694","0.84",2,3.424,3.435
