"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"684","0.84",1,5.45,3.25
"685","0.9",1,5.669,4.345
"686","0.94",1,5.71,4.55
"687","0.96",1,5.824,5.12
"688","0.97",1,5.897,5.485
"689","0.98",1,5.938,5.69
"690","0.99",1,5.93,5.65
"691","0.37",1,5.078,1.39
"692","0.6",1,5.171,1.855
"693","0.75",1,5.347,2.735
"694","0.84",1,5.5,3.5
"695","0.9",1,5.652,4.26
"696","0.94",1,5.726,4.63
"697","0.96",1,5.812,5.06
"698","0.97",1,5.893,5.465
"699","0.98",1,5.94,5.7
"700","0.99",1,5.955,5.775
"701","0.37",1,5.096,1.48
"702","0.6",1,5.202,2.01
"703","0.75",1,5.338,2.69
"704","0.84",1,5.492,3.46
"705","0.9",1,5.607,4.035
"706","0.94",1,5.733,4.665
"707","0.96",1,5.796,4.98
"708","0.97",1,5.855,5.275
"709","0.98",1,5.929,5.645
"710","0.99",1,5.939,5.695
"711","0.37",1,5.092,1.46
"712","0.6",1,5.193,1.965
"713","0.75",1,5.327,2.635
"714","0.84",1,5.447,3.235
"715","0.9",1,5.605,4.025
"716","0.94",1,5.758,4.79
"717","0.96",1,5.862,5.31
"718","0.97",1,5.875,5.375
"719","0.98",1,5.912,5.56
"720","0.99",1,5.948,5.74
"721","0.37",1,5.109,1.545
"722","0.6",1,5.201,2.005
"723","0.75",1,5.337,2.685
"724","0.84",1,5.482,3.41
"725","0.9",1,5.635,4.175
"726","0.94",1,5.733,4.665
"727","0.96",1,5.826,5.13
"728","0.97",1,5.882,5.41
"729","0.98",1,5.93,5.65
"730","0.99",1,5.941,5.705
"731","0.37",1,5.079,1.395
"732","0.6",1,5.231,2.155
"733","0.75",1,5.332,2.66
"734","0.84",1,5.501,3.505
"735","0.9",1,5.631,4.155
"736","0.94",1,5.747,4.735
"737","0.96",1,5.811,5.055
"738","0.97",1,5.894,5.47
"739","0.98",1,5.925,5.625
"740","0.99",1,5.958,5.79
"741","0.37",1,5.08,1.4
"742","0.6",1,5.222,2.11
"743","0.75",1,5.327,2.635
"744","0.84",1,5.501,3.505
"745","0.9",1,5.67,4.35
"746","0.94",1,5.716,4.58
"747","0.96",1,5.773,4.865
"748","0.97",1,5.872,5.36
"749","0.98",1,5.932,5.66
"750","0.99",1,5.96,5.8
"751","0.37",1,5.097,1.485
"752","0.6",1,5.167,1.835
"753","0.75",1,5.376,2.88
"754","0.84",1,5.445,3.225
"755","0.9",1,5.627,4.135
"756","0.94",1,5.726,4.63
"757","0.96",1,5.885,5.425
"758","0.97",1,5.842,5.21
"759","0.98",1,5.934,5.67
"760","0.99",1,5.936,5.68
"761","0.37",1,5.104,1.52
"762","0.6",1,5.226,2.13
"763","0.75",1,5.331,2.655
"764","0.84",1,5.532,3.66
"765","0.9",1,5.633,4.165
"766","0.94",1,5.76,4.8
"767","0.96",1,5.799,4.995
"768","0.97",1,5.885,5.425
"769","0.98",1,5.93,5.65
"770","0.99",1,5.948,5.74
"771","0.37",0,5.091,1.455
"772","0.6",1,5.2,2
"773","0.75",1,5.319,2.595
"774","0.84",1,5.431,3.155
